"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-01","0.63",,"52","55",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-02","0.02",,"53","63","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-03","0.00",,"52","64","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-04","0.00",,"54","66","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-05","0.00",,"53","68","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-06","0.00",,"56","70","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-07","0.00",,"55","70","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-08","0.00",,"58","66","32"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-09","0.04",,"57","66",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-10","0.00",,"54","64","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-11","0.00",,"56","66","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-12","0.00",,"55","68","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-13","0.00",,"55",,
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-14","0.00",,"58","70","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-15","0.00",,"59","64","54"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-16",,,"60","72",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-17","0.00",,"55","66",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-18","0.00",,"56","68","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-19","0.00",,"52","66","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-20","0.00",,"56","66","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-21","0.00",,"58","68","48"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-22","0.00",,"59","68","52"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-23","0.00",,"55","59",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-24",,,"53","64","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-25",,,"56","68","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-26",,,"56","66","41"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-27",,,"58","70","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-28",,,"57",,"32"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-29",,,"62","73",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-30",,,"56","59","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-01-31",,,"59","70","52"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-01",,,"59","66",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-02",,,"58","68",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-03",,,"55",,"41"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-04",,,"57","64","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-05",,,"61","72","46"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-06",,,"63","75","54"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-07",,,"61","77","48"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-08",,,"65","77","52"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-09",,,"63","72","52"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-10",,,"63","72","54"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-11",,,"62",,"54"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-12",,,"65","82","50"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-13",,,"71","81","52"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-14",,,"58","68","39"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-15",,,"59","68",
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-16",,,"57","66","45"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-17",,,"56","66","39"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-18",,,"57","70","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-19",,,"57","68","43"
"IN022021900","NEW DELHI SAFDARJUN, IN","1975-02-20",,,"63","73","52"
